TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
            Social Assistance,15583.33,15066.67,15250,16791.67,17733.33,19541.67,21608.33,23816.67,24866.67,26425,26400,27300,29050,31341.67,26018.75
      Leisure and Hospitality,26783.33,27108.33,28016.67,28975,30575,31425,32766.67,33766.67,34533.33,35708.33,28758.33,32850,36900,38025,34113.19
        Accommodation and Food Services,23833.33,24208.33,24833.33,25791.67,27166.67,27983.33,29333.33,30233.33,30875,32033.33,26533.33,29625,32600,33083.33,29702.78
          Food Services and Drinking Places,21666.67,21983.33,22725,23708.33,25125,25891.67,27066.67,27658.33,28291.67,29291.67,24583.33,27466.67,30216.67,30558.33,27542.36
      Other Services,9975,10125,10608.33,10916.67,11216.67,11533.33,11741.67,11758.33,11875,12116.67,11108.33,12000,12975,14183.33,12936.81
      Government,67066.67,65733.33,64091.67,64166.67,66258.33,68675,70958.33,72608.33,74533.33,75183.33,72483.33,70908.33,73583.33,76133.33,73176.39
        Federal Government,10691.67,10175,10191.67,9941.67,9791.67,9583.33,9825,9816.67,9958.33,10066.67,10841.67,10108.33,9591.67,9591.67,9815.97
        Total State and Local Government,56375,55558.33,53900,54225,56466.67,59091.67,61133.33,62791.67,64575,65116.67,61641.67,60800,63991.67,66541.67,63360.42
        State Government,10491.67,10675,10541.67,10608.33,11366.67,11866.67,12125,12375,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61
               State Government Educational Services,2958.33,3158.33,3141.67,3266.67,3441.67,3583.33,3733.33,3900,3966.67,3866.67,3600,3300,3566.67,3683.33,3513.89
          Local Government,45883.33,44883.33,43358.33,43616.67,45100,47225,49008.33,50416.67,51941.67,52333.33,49150,48708.33,51608.33,53975,51361.8
            Local Government Educational Services,29400,29250,28750,28741.67,29741.67,31350,32658.33,33983.33,35366.67,35541.67,32666.67,32558.33,34966.67,36725,34515.28
          Local Government excluding Educational Services,16483.33,15633.33,14608.33,14875,15358.33,15875,16350,16433.33,16575,16791.67,16483.33,16150,16641.67,17250,16846.53
            County Government,7466.67,7133.33,6575,6783.33,6883.33,7166.67,7533.33,7533.33,7700,7950,8125,7916.67,7808.33,7783.33,7620.14
            City Government,5383.33,5016.67,4791.67,4750,4958.33,5033.33,5308.33,5583.33,5750,5775,5625,5716.67,6000,6366.67,5958.33
            Special Districts plus Tribes,3633.33,3483.33,3241.67,3341.67,3516.67,3675,3508.33,3316.67,3125,3066.67,2733.33,2516.67,2833.33,3100,3268.06
