TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average,,,
          Food Services and Drinking Places,13350,13475,13991.67,14975,15550,16041.67,16700,17783.33,18233.33,18741.67,15950,18333.33,20091.67,20091.67,17836.81,,,
      Other Services,6541.67,6333.33,6533.33,6608.33,6900,7175,7516.67,7625,7616.67,7750,6750,7283.33,7908.33,8208.33,7584.72,,,
      Government,38175,36525,36091.67,37058.33,38575,39583.33,40816.67,42425,43525,44908.33,43000,42033.33,42591.67,43358.33,42602.08,,,
        Federal Government,4333.33,4008.33,3908.33,3491.67,3133.33,3008.33,3041.67,3091.67,3091.67,3183.33,3275,3116.67,3066.67,2983.33,3322.92,,,
          Federal Government excluding Department of Defense,2433.33,2200,2150,1875,1650,1608.33,1625,1700,1683.33,1683.33,1875,1758.33,1766.67,1725,1909.03,,,
          Department of Defense,1900,1808.33,1758.33,1616.67,1483.33,1400,1416.67,1391.67,1408.33,1500,1400,1358.33,1300,1258.33,1413.89,,,
        Total State and Local Government,33841.67,32516.67,32183.33,33566.67,35441.67,36575,37775,39333.33,40433.33,41725,39725,38916.67,39525,40375,39279.17,,,
          State Government,3908.33,3816.67,3633.33,4308.33,5808.33,6158.33,6391.67,6558.33,6700,6800,6750,5983.33,5483.33,5133.33,4764.58,,,
          Local Government,29933.33,28700,28550,29258.33,29633.33,30416.67,31383.33,32775,33733.33,34925,32975,32933.33,34041.67,35241.67,34514.58,,,
            Local Government Educational Services,17933.33,17641.67,17491.67,17933.33,17941.67,18291.67,19191.67,20216.67,21116.67,21858.33,20208.33,20183.33,21075,22258.33,21761.81,,,
        Local Government excluding Education,12000,11058.33,11058.33,11325,11691.67,12125,12191.67,12558.33,12616.67,13066.67,12766.67,12750,12966.67,12983.33,12752.78,,,
               County Government,7558.33,6891.67,6975,7216.67,7475,7641.67,7508.33,7750,7675,7858.33,7866.67,7783.33,7816.67,7625,7743.06,,,
               City Government,3400,3183.33,3083.33,3108.33,3166.67,3200,3291.67,3425,3566.67,3791.67,3450,3508.33,3566.67,3658.33,3520.14,,,
            Special Districts plus Tribes,1066.67,1000,1000,1000,1050,1283.33,1391.67,1383.33,1375,1416.67,1450,1458.33,1583.33,1700,1493.06,,,
