TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
      Financial Activities,2258.33,2250,2266.67,2225,2266.67,2333.33,2358.33,2266.67,2200,2250,2141.67,2100,2125,2091.67,2155.56
      Professional and Business Services,5158.33,5416.67,5991.67,6300,6408.33,6725,6725,6808.33,7191.67,7208.33,6708.33,6516.67,6716.67,6808.33,6431.25
        Administrative and Support and Waste and Remediatio,3075,3133.33,3533.33,3683.33,3750,3958.33,3991.67,4116.67,4316.67,4191.67,3833.33,3733.33,3941.67,3975,3772.92
      Private Education and Health Services,8991.67,9075,9350,9666.67,9916.67,9800,9900,10075,10100,10275,9858.33,9866.67,10125,10575,10366.67
        Health Care and Social Assistance,7058.33,7425,7541.67,8166.67,8325,8241.67,8316.67,8491.67,8508.33,8658.33,8450,8558.33,8716.67,9133.33,8793.06
      Leisure and Hospitality,9308.33,10008.33,10666.67,11333.33,11866.67,12608.33,12725,13075,13491.67,13708.33,9108.33,10200,12725,13333.33,12315.28
        Accommodation and Food Services,8608.33,9300,9900,10525,11075,11791.67,11716.67,11991.67,12383.33,12575,8425,9366.67,11650,12183.33,11334.03
          Food Services and Drinking Places,5325,5525,5741.67,6116.67,6591.67,6966.67,6991.67,7125,7375,7458.33,5308.33,6050,7225,7341.67,6750
      Other Services,1908.33,1875,1941.67,1958.33,1975,2025,2058.33,2150,2141.67,2083.33,1675,1808.33,2058.33,2158.33,2088.19
      Government,10358.33,10066.67,9858.33,10000,9991.67,10150,10358.33,10525,10533.33,10191.67,9683.33,9441.67,9400,9425,9722.92
        Federal Government,425,358.33,200,200,200,200,200,200,200,200,225,200,200,200,231.94
          Total State and Local Government,9933.33,9708.33,9658.33,9800,9791.67,9950,10158.33,10325,10333.33,9991.67,9458.33,9241.67,9200,9225,9490.97
          State Government,3566.67,3450,3416.67,3450,3475,3491.67,3475,3500,3625,3583.33,3558.33,3566.67,3441.67,3283.33,3313.2
          Local Government,6366.67,6258.33,6241.67,6350,6316.67,6458.33,6683.33,6825,6708.33,6408.33,5900,5675,5758.33,5941.67,6177.78
          Local Government Educational Services,3900,3825,3808.33,3916.67,3866.67,3950,4125,4216.67,4041.67,3758.33,3316.67,3158.33,3191.67,3258.33,3593.06
          Local Government excluding Educational Services,2466.67,2433.33,2433.33,2433.33,2450,2508.33,2558.33,2608.33,2666.67,2650,2583.33,2516.67,2566.67,2683.33,2584.72
               County Government,1458.33,1483.33,1500,1500,1516.67,1575,1583.33,1600,1633.33,1608.33,1625,1600,1600,1633.33,1596.53
               City Government,858.33,833.33,825,825,825,825,866.67,900,925,933.33,858.33,816.67,850,925,880.56
               Special Districts plus Tribes,133.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,100,100,116.67,125,105.55
