TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
    Private Service Providing,193791.67,196316.67,202000,207583.33,209366.67,209491.67,212158.33,215750,217758.33,220350,202108.33,210575,219458.33,221066.67,214413.19
      Trade Transportation and Utilities,52883.33,54016.67,55316.67,56616.67,57250,57691.67,58241.67,58633.33,58075,57133.33,53008.33,55666.67,57300,56550,55773.61
        Wholesale Trade,12308.33,12441.67,12475,12516.67,12341.67,12083.33,12475,12666.67,12533.33,12466.67,12008.33,12325,12458.33,11825,11906.94
        Retail Trade,35275,36075,37100,38233.33,38925,39625,39725,39825,39216.67,38333.33,34875,36358.33,36533.33,36375,36634.03
          Food and Beverage Retailers,7591.67,7575,7700,8183.33,8783.33,8950,8833.33,8975,8708.33,8608.33,8800,8808.33,8825,9041.67,8519.44
          General Merchandise Retailers,6191.67,6491.67,6391.67,6483.33,6358.33,6433.33,6458.33,6333.33,6266.67,6091.67,5266.67,5675,5758.33,5775,6009.72
          Clothing Accessories Shoe and Jewelry ,4925,5258.33,5383.33,5566.67,5600,5375,5275,5141.67,4858.33,4475,3058.33,3383.33,3400,3466.67,4169.44
        Transportation Warehousing and Utilities,5300,5500,5741.67,5866.67,5983.33,5983.33,6041.67,6141.67,6325,6333.33,6125,6983.33,8308.33,8350,7232.64
           Transportation and Warehousing,4183.33,4316.67,4575,4733.33,4850,4933.33,5041.67,5191.67,5383.33,5400,5266.67,6150,7475,7425,6221.53
      Information,5375,5091.67,5375,5475,5616.67,5316.67,5266.67,5300,5366.67,5241.67,3975,3916.67,4008.33,3741.67,4277.78
      Financial Activities,20333.33,20391.67,19600,18916.67,18725,17741.67,17408.33,16916.67,16441.67,15850,15700,16100,16058.33,15325,16997.22
        Finance and Insurance,16008.33,16183.33,15416.67,14533.33,14233.33,13483.33,13150,12700,12325,11616.67,11591.67,11741.67,11316.67,10791.67,12572.92
          Credit Intermediation and Related Activities incl,8900,9708.33,9558.33,9366.67,8808.33,7983.33,7891.67,7625,7441.67,7058.33,7116.67,7125,6283.33,5316.67,6878.47
          Insurance Carriers and Related Activities,6275,5583.33,4966.67,4300,4591.67,4833.33,4741.67,4658.33,4608.33,4391.67,4400,4225,4225,4358.33,4709.72
        Real Estate and Rental and Leasing,4325,4208.33,4183.33,4383.33,4491.67,4258.33,4258.33,4216.67,4116.67,4233.33,4108.33,4358.33,4741.67,4533.33,4424.3
      Professional and Business Services,40233.33,39866.67,41341.67,42800,41541.67,40466.67,40850,42150,42908.33,44350,42608.33,43641.67,44258.33,43550,42873.61
        Professional Scientific and Technical Services,15283.33,15066.67,15691.67,16108.33,15875,15833.33,15841.67,16475,16625,17366.67,16575,17283.33,18125,17658.33,17210.42
        Management of Companies and Enterprises,8483.33,8050,7625,7575,7433.33,6650,7066.67,7350,7283.33,7641.67,7908.33,7875,8016.67,8200,8030.56
        Administrative and Support and Waste and Remediatio,16466.67,16750,18025,19116.67,18233.33,17983.33,17941.67,18325,19000,19341.67,18125,18483.33,18116.67,17691.67,17632.64
          Administrative and Support Services,15658.33,15916.67,17216.67,18283.33,17400,17283.33,17216.67,17541.67,18025,18341.67,17108.33,17450,16975,16425,16589.58
            Employment Services,6833.33,7083.33,8091.67,9158.33,8216.67,7791.67,7433.33,7658.33,8233.33,8550,7408.33,7341.67,7033.33,6175,6898.61
      Private Education and Health Services,35491.67,36333.33,38183.33,40358.33,41625,42916.67,44416.67,45883.33,47658.33,49600,48333.33,49566.67,51225,53925,48774.3
      Leisure and Hospitality,30300,31408.33,32766.67,33750,34808.33,35708.33,36375,37241.67,37808.33,38525,30200,32800,37208.33,38258.33,36044.44
        Accommodation and Food Services,25616.67,26750,27858.33,28650,29708.33,30491.67,31158.33,32358.33,32641.67,32841.67,26441.67,29116.67,32683.33,33500,31256.94
      Other Services,9175,9208.33,9416.67,9666.67,9800,9650,9600,9625,9500,9650,8283.33,8883.33,9400,9716.67,9672.22
      Government,44208.33,44400,43625,43616.67,44000,45400,46583.33,46908.33,46866.67,47125,44733.33,44475,46141.67,47100,46320.83
        Federal Government,7766.67,7350,7150,7033.33,6858.33,7100,7383.33,7266.67,7266.67,7408.33,7766.67,7608.33,7408.33,7375,7329.86
          Federal Government excluding Department of Defense,2958.33,2533.33,2300,2291.67,2258.33,2250,2166.67,1891.67,1800,1783.33,1833.33,1700,1700,1608.33,1903.47
          Department of Defense,4808.33,4816.67,4850,4741.67,4600,4850,5216.67,5375,5466.67,5625,5933.33,5908.33,5708.33,5766.67,5426.39
        Total State and Local Government,36441.67,37050,36475,36583.33,37141.67,38300,39200,39641.67,39600,39716.67,36966.67,36866.67,38733.33,39725,38990.97
          State Government,2591.67,2725,2733.33,2733.33,2791.67,2875,2933.33,3000,3008.33,3075,2966.67,2733.33,2825,2675,2597.92
            State Government Educational Services,891.67,958.33,1075,1183.33,1283.33,1358.33,1433.33,1491.67,1466.67,1483.33,1358.33,1208.33,1325,1416.67,1274.3
            State Government Excluding Education,1700,1766.67,1658.33,1550,1508.33,1516.67,1500,1508.33,1541.67,1591.67,1608.33,1525,1500,1258.33,1323.61
          Local Government,33850,34325,33741.67,33850,34350,35425,36266.67,36641.67,36591.67,36641.67,34000,34133.33,35908.33,37050,36393.06
            Local Government Educational Services,18908.33,19375,18708.33,18650,19116.67,20133.33,20800,20991.67,21041.67,21141.67,19175,19091.67,20241.67,20800,20263.19
            Local Government Excluding Educational Services,14941.67,14950,15033.33,15200,15233.33,15291.67,15466.67,15650,15550,15500,14825,15041.67,15666.67,16250,16129.86
            County Government,8525,8600,8641.67,8708.33,8825,8900,9158.33,9250,9083.33,9083.33,8983.33,9258.33,9650,9908.33,9641.67
            City Government,4358.33,4258.33,4275,4300,4183.33,4116.67,4016.67,4066.67,4116.67,4091.67,3750,3658.33,3825,4000,4197.92
            Special Districts plus Tribes,2083.33,2091.67,2116.67,2191.67,2225,2275,2291.67,2333.33,2350,2325,2091.67,2125,2191.67,2341.67,2292.36
