Industry,Indentation Level,Main Category
"Information,14333.33,14166.67,14491.67,14066.67,14683.33,16641.67,18233.33,18791.67,19966.67,20533.33,19900.0,18791.67,19141.67,18616.67,14348.33",3,"Retail Trade,60716.67,61383.33,63525.0,67158.33,68908.33,70766.67,71766.67,71241.67,71658.33,70258.33,62475.0,64416.67,64041.67,64116.67,64338.33"
"Financial Activities,23333.33,24491.67,26066.67,28033.33,29058.33,29283.33,30333.33,28733.33,28008.33,28350.0,27033.33,27091.67,27075.0,27283.33,26196.67",3,"Retail Trade,60716.67,61383.33,63525.0,67158.33,68908.33,70766.67,71766.67,71241.67,71658.33,70258.33,62475.0,64416.67,64041.67,64116.67,64338.33"
"Finance & Insurance,14300.0,15658.33,16941.67,18475.0,19100.0,19400.0,20266.67,18458.33,17458.33,17541.67,17133.33,16816.67,16283.33,16333.33,16895.0",4,"Finance & Insurance,14300.0,15658.33,16941.67,18475.0,19100.0,19400.0,20266.67,18458.33,17458.33,17541.67,17133.33,16816.67,16283.33,16333.33,16895.0"
"Real Estate & Rental & Leasing,9033.33,8833.33,9125.0,9558.33,9958.33,9883.33,10066.67,10275.0,10550.0,10808.33,9900.0,10275.0,10791.67,10950.0,9301.66",4,"Real Estate & Rental & Leasing,9033.33,8833.33,9125.0,9558.33,9958.33,9883.33,10066.67,10275.0,10550.0,10808.33,9900.0,10275.0,10791.67,10950.0,9301.66"
"Professional and Business Services,108133.33,111025.0,117258.33,118350.0,120350.0,125666.67,128733.33,130383.33,134025.0,136625.0,128908.33,134358.33,137841.67,135008.33,115023.33",3,"Real Estate & Rental & Leasing,9033.33,8833.33,9125.0,9558.33,9958.33,9883.33,10066.67,10275.0,10550.0,10808.33,9900.0,10275.0,10791.67,10950.0,9301.66"
"""        Professional, Scientific & Technical Services"",57250.0,58450.0,61791.67,62383.33,64091.67,68358.33,71933.33,69341.67,73466.67,76391.67,73850.0,76975.0,80250.0,80250.0,60793.33",0,"Real Estate & Rental & Leasing,9033.33,8833.33,9125.0,9558.33,9958.33,9883.33,10066.67,10275.0,10550.0,10808.33,9900.0,10275.0,10791.67,10950.0,9301.66"
"Management of Companies & Enterprises,19400.0,20341.67,21633.33,19425.0,17908.33,15908.33,14275.0,17425.0,16941.67,16466.67,16100.0,16775.0,17000.0,16375.0,19741.67",4,"Management of Companies & Enterprises,19400.0,20341.67,21633.33,19425.0,17908.33,15908.33,14275.0,17425.0,16941.67,16466.67,16100.0,16775.0,17000.0,16375.0,19741.67"
"Administrative and Support and Waste and Remediatio,31483.33,32233.33,33833.33,36541.67,38350.0,41400.0,42525.0,43616.67,43616.67,43766.67,38958.33,40608.33,40591.67,38383.33,34488.33",4,"Administrative and Support and Waste and Remediatio,31483.33,32233.33,33833.33,36541.67,38350.0,41400.0,42525.0,43616.67,43616.67,43766.67,38958.33,40608.33,40591.67,38383.33,34488.33"
"Private Education and Health Services,105016.67,104575.0,108283.33,111025.0,111625.0,114491.67,117558.33,122150.0,123591.67,125958.33,121783.33,125116.67,128508.33,135825.0,108105.0",3,"Administrative and Support and Waste and Remediatio,31483.33,32233.33,33833.33,36541.67,38350.0,41400.0,42525.0,43616.67,43616.67,43766.67,38958.33,40608.33,40591.67,38383.33,34488.33"
"Private Educational Services,13916.67,14066.67,14591.67,15591.67,16000.0,15558.33,15966.67,15758.33,15816.67,16408.33,13991.67,14300.0,15225.0,15341.67,14833.34",4,"Private Educational Services,13916.67,14066.67,14591.67,15591.67,16000.0,15558.33,15966.67,15758.33,15816.67,16408.33,13991.67,14300.0,15225.0,15341.67,14833.34"
"Health Care & Social Assistance,91100.0,90508.33,93691.67,95433.33,95625.0,98933.33,101591.67,106391.67,107775.0,109550.0,107791.67,110816.67,113283.33,120483.33,93271.67",4,"Health Care & Social Assistance,91100.0,90508.33,93691.67,95433.33,95625.0,98933.33,101591.67,106391.67,107775.0,109550.0,107791.67,110816.67,113283.33,120483.33,93271.67"
"Leisure and Hospitality,54466.67,55966.67,58333.33,61883.33,65766.67,68366.67,70916.67,74116.67,76425.0,78000.0,53025.0,57866.67,68616.67,71141.67,59283.33",3,"Health Care & Social Assistance,91100.0,90508.33,93691.67,95433.33,95625.0,98933.33,101591.67,106391.67,107775.0,109550.0,107791.67,110816.67,113283.33,120483.33,93271.67"
"""         Arts, Entertainment, and Recreation"",8983.33,9108.33,9100.0,9391.67,9766.67,9841.67,10091.67,10883.33,11541.67,12858.33,7241.67,7908.33,10516.67,11300.0,9270.0",0,"Health Care & Social Assistance,91100.0,90508.33,93691.67,95433.33,95625.0,98933.33,101591.67,106391.67,107775.0,109550.0,107791.67,110816.67,113283.33,120483.33,93271.67"
"Accommodation & Food Services,45483.33,46858.33,49233.33,52491.67,56000.0,58525.0,60825.0,63233.33,64883.33,65141.67,45783.33,49958.33,58100.0,59841.67,50013.33",4,"Accommodation & Food Services,45483.33,46858.33,49233.33,52491.67,56000.0,58525.0,60825.0,63233.33,64883.33,65141.67,45783.33,49958.33,58100.0,59841.67,50013.33"
"Other Services,23191.67,23341.67,23991.67,24808.33,24958.33,25450.0,26225.0,27191.67,27458.33,27491.67,22475.0,23800.0,25775.0,27191.67,24058.33",3,"Accommodation & Food Services,45483.33,46858.33,49233.33,52491.67,56000.0,58525.0,60825.0,63233.33,64883.33,65141.67,45783.33,49958.33,58100.0,59841.67,50013.33"
"Government,116116.67,116041.67,114858.33,115058.33,117275.0,120058.33,123483.33,124166.67,123866.67,124083.33,118425.0,114533.33,113183.33,115483.33,115870.0",3,"Accommodation & Food Services,45483.33,46858.33,49233.33,52491.67,56000.0,58525.0,60825.0,63233.33,64883.33,65141.67,45783.33,49958.33,58100.0,59841.67,50013.33"
"Federal Government,10483.33,9733.33,9583.33,9300.0,9250.0,9100.0,9150.0,9025.0,8733.33,8708.33,9041.67,8583.33,8308.33,8441.67,9670.0",4,"Federal Government,10483.33,9733.33,9583.33,9300.0,9250.0,9100.0,9150.0,9025.0,8733.33,8708.33,9041.67,8583.33,8308.33,8441.67,9670.0"
"State Government,36891.67,37133.33,37258.33,37600.0,37991.67,38566.67,38366.67,37891.67,37875.0,38025.0,36541.67,34208.33,31491.67,32083.33,37375.0",5,"Federal Government,10483.33,9733.33,9583.33,9300.0,9250.0,9100.0,9150.0,9025.0,8733.33,8708.33,9041.67,8583.33,8308.33,8441.67,9670.0"
"Local Government,68741.67,69175.0,68016.67,68158.33,70033.33,72391.67,75966.67,77250.0,77258.33,77350.0,72841.67,71741.67,73383.33,74958.33,68825.0",5,"Federal Government,10483.33,9733.33,9583.33,9300.0,9250.0,9100.0,9150.0,9025.0,8733.33,8708.33,9041.67,8583.33,8308.33,8441.67,9670.0"
"TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average",0,
"Civilian Labor Force,542.5,591.67,544.17,523.33,509.17,550.0,553.33,547.5,546.67,541.67,513.33,512.5,494.17,539.17,562.57",0,
"Civilian Employment,469.17,515.83,482.5,473.33,466.67,508.33,519.17,515.0,524.17,513.33,455.0,470.83,468.33,507.5,515.62",1,
"Civilian Unemployment,70.83,75.83,60.83,50.83,41.67,40.83,38.33,35.83,23.33,29.17,59.17,44.17,30.83,35.0,46.67",1,
"Civilian Unemployment Rate,0.14,0.13,0.11,0.1,0.08,0.07,0.07,0.06,0.05,0.05,0.12,0.08,0.06,0.07,0.08",0,
"Total Wage and Salary,685.0,803.33,715.83,684.17,687.5,779.17,813.33,801.67,819.17,799.17,690.0,723.33,703.33,800.0,827.15",0,
"Total Farm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,
"Total Nonfarm,685.0,803.33,715.83,684.17,687.5,779.17,813.33,801.67,819.17,799.17,690.0,723.33,703.33,800.0,827.15",1,
"Total Private,405.0,482.5,406.67,366.67,360.83,443.33,493.33,488.33,513.33,495.83,408.33,458.33,443.33,519.17,525.97",2,
"Goods Producing,15.83,10.0,16.67,12.5,22.5,33.33,21.67,15.0,15.83,13.33,13.33,16.67,13.33,10.83,12.29",2,
"Service-Providing,669.17,793.33,699.17,671.67,665.0,745.83,792.5,787.5,804.17,786.67,675.83,709.17,690.0,790.0,813.2",0,
"Private Service Providing,389.17,472.5,390.0,354.17,338.33,410.0,475.0,475.0,500.0,481.67,395.0,443.33,428.33,509.17,512.85",0,
"Government,280.0,320.83,309.17,317.5,326.67,335.83,320.0,315.0,305.0,305.0,282.5,265.0,259.17,281.67,300.35",3,
"Federal Government,10.0,10.83,10.83,12.5,13.33,10.83,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.79",4,"Federal Government,10.0,10.83,10.83,12.5,13.33,10.83,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.79"
"Total State and Local Government,270.0,310.0,298.33,305.0,313.33,325.0,310.0,312.5,303.33,304.17,280.0,263.33,257.5,280.83,295.56",4,"Total State and Local Government,270.0,310.0,298.33,305.0,313.33,325.0,310.0,312.5,303.33,304.17,280.0,263.33,257.5,280.83,295.56"
"State Government,50.0,49.17,55.83,60.83,65.83,63.33,60.0,60.83,52.5,50.0,50.0,45.83,41.67,49.17,59.31",5,"Total State and Local Government,270.0,310.0,298.33,305.0,313.33,325.0,310.0,312.5,303.33,304.17,280.0,263.33,257.5,280.83,295.56"
"Local Government,220.0,260.83,242.5,244.17,247.5,261.67,250.0,250.83,250.0,252.5,232.5,218.33,215.0,231.67,237.08",5,"Total State and Local Government,270.0,310.0,298.33,305.0,313.33,325.0,310.0,312.5,303.33,304.17,280.0,263.33,257.5,280.83,295.56"
"TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average",0,
"Civilian Labor Force,15524.17,15075.0,14646.67,14400.83,14322.5,14316.67,14525.0,14693.33,14673.33,14808.33,14474.17,14367.5,14280.83,14402.5,14655.76",0,
"Civilian Employment,13292.5,12989.17,12822.5,12895.83,13118.33,13365.0,13658.33,13958.33,14071.67,14227.5,13118.33,13362.5,13640.0,13674.17,13455.69",1,
"Civilian Unemployment,2233.33,2087.5,1822.5,1503.33,1204.17,950.83,867.5,735.0,600.83,580.83,1355.0,1005.0,641.67,730.0,1200.07",1,
"Civilian Unemployment Rate,0.14,0.14,0.12,0.1,0.08,0.07,0.06,0.05,0.04,0.04,0.09,0.07,0.04,0.05,0.08",0,
"""Total, All Industries"",11463.33,11121.67,10896.67,11086.67,11351.67,11635.83,12052.5,12427.5,12531.67,12851.67,11875.83,12110.83,12391.67,12488.33,12089.17",0,
"Total Farm,331.67,325.83,327.5,325.0,315.83,311.67,341.67,351.67,328.33,317.5,299.17,290.0,280.0,286.67,298.82",1,
"Total Nonfarm,11131.67,10795.83,10569.17,10761.67,11035.83,11324.17,11710.83,12075.83,12203.33,12534.17,11576.67,11820.83,12111.67,12201.67,11790.35",1,
"Total Private,6094.17,6186.67,6335.83,6603.33,6837.5,6979.17,6979.17,7253.33,7390.0,7425.0,6854.17,7229.17,7461.67,7485.83,7161.46",2,
"Goods Producing,1002.5,1051.67,1180.83,1216.67,1336.67,1407.5,1314.17,1373.33,1450.83,1489.17,1257.5,1426.67,1615.0,1618.33,1479.03",2,
"""     Mining, Logging and Construction"",384.17,378.33,423.33,445.83,525.83,565.0,505.83,538.33,614.17,642.5,650.83,756.67,855.83,821.67,701.46",0,
"Mining and Logging,139.17,142.5,160.0,150.83,115.83,118.33,125.83,127.5,156.67,226.67,228.33,260.0,286.67,282.5,229.86",3,
"Construction,245.0,235.83,263.33,295.0,410.0,446.67,380.0,410.83,457.5,415.83,422.5,496.67,569.17,539.17,471.6",3,
"Manufacturing,618.33,673.33,757.5,770.83,810.83,842.5,811.67,833.33,839.17,847.5,607.5,668.33,761.67,798.33,778.4",3,
"Durable Goods,229.17,243.33,278.33,265.0,255.0,268.33,220.0,231.67,245.83,259.17,187.5,185.83,195.83,192.5,222.57",4,"Durable Goods,229.17,243.33,278.33,265.0,255.0,268.33,220.0,231.67,245.83,259.17,187.5,185.83,195.83,192.5,222.57"
"Non-Durable Goods,389.17,430.0,479.17,505.83,555.83,574.17,590.83,603.33,595.0,589.17,420.0,484.17,567.5,605.83,556.67",3,"Durable Goods,229.17,243.33,278.33,265.0,255.0,268.33,220.0,231.67,245.83,259.17,187.5,185.83,195.83,192.5,222.57"
"Service-Providing,10129.17,9744.17,9388.33,9545.0,9699.17,9916.67,10396.67,10702.5,10754.17,11048.33,10322.5,10393.33,10495.83,10582.5,10312.15",3,"Durable Goods,229.17,243.33,278.33,265.0,255.0,268.33,220.0,231.67,245.83,259.17,187.5,185.83,195.83,192.5,222.57"
"Private Service Providing,5091.67,5135.0,5155.0,5386.67,5500.83,5571.67,5666.67,5880.0,5940.0,5936.67,5598.33,5802.5,5845.0,5867.5,5682.43",2,"Durable Goods,229.17,243.33,278.33,265.0,255.0,268.33,220.0,231.67,245.83,259.17,187.5,185.83,195.83,192.5,222.57"
"""      Trade, Transportation, and Utilities"",1685.0,1741.67,1754.17,1791.67,1795.0,1792.5,1785.83,1790.0,1793.33,1763.33,1755.0,1796.67,1766.67,1690.0,1716.46",0,"Durable Goods,229.17,243.33,278.33,265.0,255.0,268.33,220.0,231.67,245.83,259.17,187.5,185.83,195.83,192.5,222.57"
"Wholesale Trade,70.0,82.5,90.0,92.5,87.5,66.67,50.0,46.67,43.33,40.0,44.17,49.17,54.17,52.5,66.04",4,"Wholesale Trade,70.0,82.5,90.0,92.5,87.5,66.67,50.0,46.67,43.33,40.0,44.17,49.17,54.17,52.5,66.04"
"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44",4,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"""        Transportation, Warehousing, and Utilities"",160.83,170.83,189.17,235.83,215.0,210.83,197.5,196.67,200.83,203.33,201.67,220.83,229.17,218.33,210.97",0,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Information,179.17,169.17,157.5,158.33,166.67,174.17,168.33,159.17,150.0,145.0,138.33,125.0,125.0,150.0,158.4",3,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Financial Activities,281.67,276.67,275.0,277.5,277.5,286.67,277.5,270.83,270.0,264.17,245.83,242.5,245.83,245.83,259.03",3,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Professional and Business Services,408.33,434.17,417.5,434.17,508.33,505.0,517.5,511.67,494.17,492.5,431.67,436.67,455.83,538.33,509.38",3,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Private Education and Health Services,1390.0,1349.17,1346.67,1452.5,1485.83,1481.67,1550.0,1641.67,1675.83,1736.67,1685.0,1696.67,1611.67,1620.0,1542.85",3,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Leisure and Hospitality,945.0,938.33,977.5,1024.17,1033.33,1079.17,1094.17,1219.17,1275.83,1249.17,1051.67,1214.17,1306.67,1232.5,1150.69",3,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Other Services,202.5,225.83,226.67,248.33,234.17,252.5,280.83,289.17,280.0,288.33,292.5,295.0,338.33,394.17,345.62",3,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Government,5037.5,4609.17,4233.33,4158.33,4198.33,4345.0,4732.5,4822.5,4815.83,5109.17,4725.83,4592.5,4649.17,4715.83,4629.72",3,"Retail Trade,1454.17,1488.33,1475.0,1463.33,1492.5,1515.0,1538.33,1546.67,1549.17,1521.67,1509.17,1526.67,1486.67,1418.33,1439.44"
"Federal Government,105.83,86.67,90.0,85.0,90.83,90.83,97.5,99.17,88.33,85.83,95.83,74.17,70.83,76.67,81.53",4,"Federal Government,105.83,86.67,90.0,85.0,90.83,90.83,97.5,99.17,88.33,85.83,95.83,74.17,70.83,76.67,81.53"
"Total State and Local Government,4931.67,4522.5,4143.33,4073.33,4107.5,4254.17,4635.0,4723.33,4726.67,5024.17,4630.0,4518.33,4580.0,4639.17,4548.19",4,"Total State and Local Government,4931.67,4522.5,4143.33,4073.33,4107.5,4254.17,4635.0,4723.33,4726.67,5024.17,4630.0,4518.33,4580.0,4639.17,4548.19"
"State Government,1965.0,1680.0,1465.83,1395.83,1440.83,1552.5,1838.33,1951.67,1960.0,1962.5,1963.33,1975.0,1933.33,1958.33,1822.29",5,"Total State and Local Government,4931.67,4522.5,4143.33,4073.33,4107.5,4254.17,4635.0,4723.33,4726.67,5024.17,4630.0,4518.33,4580.0,4639.17,4548.19"
"Local Government,2966.67,2842.5,2677.5,2677.5,2666.67,2701.67,2798.33,2770.83,2766.67,3061.67,2666.67,2544.17,2647.5,2682.5,2725.07",5,"Total State and Local Government,4931.67,4522.5,4143.33,4073.33,4107.5,4254.17,4635.0,4723.33,4726.67,5024.17,4630.0,4518.33,4580.0,4639.17,4548.19"
"TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average",0,
"Civilian Labor Force,102716.67,100550.0,100825.0,101408.33,101058.33,101058.33,101650.0,102000.0,101816.67,97950.0,93233.33,92025.0,91525.0,91908.33,96121.53",0,
"Civilian Employment,88091.67,86566.67,88358.33,90825.0,92208.33,93766.67,94925.0,96050.0,96666.67,92933.33,84491.67,85658.33,87375.0,87083.33,87779.17",1,
"Civilian Unemployment,14625.0,13991.67,12466.67,10583.33,8841.67,7300.0,6750.0,5941.67,5158.33,5016.67,8733.33,6341.67,4150.0,4825.0,8342.36",1,
"Civilian Unemployment Rate,0.14,0.14,0.12,0.1,0.09,0.07,0.07,0.06,0.05,0.05,0.09,0.07,0.05,0.05,0.08",0,
"""Total, All Industries"",74033.33,72500.0,74166.67,77275.0,78933.33,80891.67,82916.67,84600.0,85583.33,83475.0,76750.0,78300.0,80200.0,80366.67,78700.69",0,
"Total Farm,2766.67,2716.67,2800.0,2900.0,2908.33,3025.0,3125.0,3100.0,3083.33,2875.0,2941.67,2925.0,2825.0,2700.0,2757.64",1,
"Total Nonfarm,71266.67,69783.33,71366.67,74375.0,76025.0,77866.67,79791.67,81500.0,82500.0,80600.0,73808.33,75375.0,77375.0,77666.67,75943.06",1,
"Total Private,54300.0,54075.0,55575.0,58391.67,59908.33,61608.33,63458.33,64966.67,66058.33,64033.33,58550.0,60566.67,61708.33,61825.0,60162.5",2,
"Goods Producing,6058.33,6000.0,6325.0,6866.67,7133.33,7550.0,7825.0,8066.67,8591.67,8516.67,8200.0,8333.33,8541.67,8466.67,7748.61",2,
"""      Mining, Logging, and Construction"",2383.33,2333.33,2391.67,2875.0,3150.0,3375.0,3558.33,3775.0,4316.67,4400.0,4233.33,4191.67,4208.33,4266.67,3686.11",0,
"Manufacturing,3675.0,3666.67,3933.33,3991.67,3983.33,4175.0,4266.67,4291.67,4275.0,4116.67,3966.67,4141.67,4333.33,4200.0,4062.5",3,
"Service-Providing,65208.33,63783.33,65041.67,67508.33,68891.67,70316.67,71966.67,73433.33,73908.33,72083.33,65608.33,67041.67,68833.33,69200.0,68194.44",3,
"Private Service Providing,48241.67,48075.0,49250.0,51525.0,52775.0,54058.33,55633.33,56900.0,57466.67,55516.67,50350.0,52233.33,53166.67,53358.33,52413.89",2,
"""        Trade, Transportation, and Utilities"",12675.0,12541.67,12833.33,12975.0,13291.67,13750.0,14141.67,14675.0,14741.67,14500.0,13641.67,14466.67,14325.0,13625.0,13184.72",0,
"Wholesale Trade,1716.67,1758.33,1816.67,1741.67,1800.0,1816.67,1900.0,1950.0,2050.0,2166.67,2133.33,2450.0,2300.0,2216.67,2044.44",4,"Wholesale Trade,1716.67,1758.33,1816.67,1741.67,1800.0,1816.67,1900.0,1950.0,2050.0,2166.67,2133.33,2450.0,2300.0,2216.67,2044.44"
"Retail Trade,9358.33,9208.33,9458.33,9733.33,10025.0,10391.67,10650.0,11141.67,11116.67,10725.0,9816.67,10141.67,9908.33,9325.0,9273.61",4,"Retail Trade,9358.33,9208.33,9458.33,9733.33,10025.0,10391.67,10650.0,11141.67,11116.67,10725.0,9816.67,10141.67,9908.33,9325.0,9273.61"
"""        Transportation, Warehousing, and Utilities"",1600.0,1575.0,1558.33,1500.0,1466.67,1541.67,1591.67,1583.33,1575.0,1608.33,1691.67,1875.0,2116.67,2083.33,1866.67",0,"Retail Trade,9358.33,9208.33,9458.33,9733.33,10025.0,10391.67,10650.0,11141.67,11116.67,10725.0,9816.67,10141.67,9908.33,9325.0,9273.61"
"Information,1000.0,1075.0,1075.0,1000.0,1016.67,1058.33,1000.0,900.0,900.0,800.0,625.0,616.67,675.0,675.0,838.89",3,"Retail Trade,9358.33,9208.33,9458.33,9733.33,10025.0,10391.67,10650.0,11141.67,11116.67,10725.0,9816.67,10141.67,9908.33,9325.0,9273.61"
"Financial Activities,3125.0,2966.67,2966.67,3075.0,3275.0,3516.67,3550.0,3441.67,3275.0,3150.0,2991.67,2875.0,2691.67,2566.67,2742.36",3,"Retail Trade,9358.33,9208.33,9458.33,9733.33,10025.0,10391.67,10650.0,11141.67,11116.67,10725.0,9816.67,10141.67,9908.33,9325.0,9273.61"
"Finance and Insurance,1700.0,1600.0,1675.0,1783.33,1950.0,2166.67,2166.67,2075.0,1908.33,1850.0,1733.33,1675.0,1441.67,1300.0,1475.69",4,"Finance and Insurance,1700.0,1600.0,1675.0,1783.33,1950.0,2166.67,2166.67,2075.0,1908.33,1850.0,1733.33,1675.0,1441.67,1300.0,1475.69"
"Professional and Business Services,4925.0,5125.0,5541.67,5816.67,5575.0,5541.67,5758.33,5766.67,5600.0,5783.33,5350.0,5483.33,5083.33,5166.67,5456.94",3,"Finance and Insurance,1700.0,1600.0,1675.0,1783.33,1950.0,2166.67,2166.67,2075.0,1908.33,1850.0,1733.33,1675.0,1441.67,1300.0,1475.69"
"Private Education and Health Services,15841.67,15525.0,15725.0,17108.33,17750.0,18083.33,18791.67,19400.0,19941.67,18408.33,17491.67,17633.33,18400.0,19600.0,18620.83",3,"Finance and Insurance,1700.0,1600.0,1675.0,1783.33,1950.0,2166.67,2166.67,2075.0,1908.33,1850.0,1733.33,1675.0,1441.67,1300.0,1475.69"
