TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
        Retail Trade,1509183.33,1537250.0,1559800.0,1582791.67,1615866.67,1648233.33,1666083.33,1673383.33,1667033.33,1641141.67,1511091.67,1581750.0,1614225.0,1610200.0,1588957.64
"        Transportation, Warehousing, and Utilities",468041.67,476483.33,489708.33,505616.67,526616.67,559841.67,597491.67,635550.0,668466.67,708408.33,734825.0,793516.67,848541.67,831725.0,690222.22
      Information,431925.0,434350.0,440041.67,454308.33,468350.0,492916.67,531208.33,534950.0,548925.0,567175.0,540383.33,568658.33,617591.67,559550.0,494972.92
      Financial Activities,761141.67,762508.33,773733.33,783075.0,782408.33,801966.67,822358.33,831808.33,836841.67,840050.0,816300.0,827075.0,838616.67,814766.67,791863.89
        Finance and Insurance,512608.33,515108.33,522616.67,523816.67,516633.33,529691.67,544058.33,546291.67,541958.33,537316.67,533966.67,537691.67,533150.0,509841.67,508523.61
          Real Estate and Rental and Leasing,248533.33,247400.0,251116.67,259258.33,265775.0,272275.0,278300.0,285516.67,294883.33,302733.33,282333.33,289383.33,305466.67,304925.0,283340.28
      Professional and Business Services,2082683.33,2141200.0,2249275.0,2348091.67,2427700.0,2491750.0,2533708.33,2585291.67,2672891.67,2726300.0,2603466.67,2712200.0,2853125.0,2776483.33,2558354.17
"        Professional, Scientific, and Technical Services",1012325.0,1045491.67,1097708.33,1135608.33,1166075.0,1191008.33,1210925.0,1237308.33,1281475.0,1331066.67,1301350.0,1345200.0,1426991.67,1417016.67,1281825.69
        Management of Companies and Enterprises,209666.67,214716.67,221225.0,233050.0,237458.33,239400.0,238725.0,249191.67,258200.0,258166.67,245416.67,244675.0,245950.0,242500.0,233659.72
        Administrative and Support and Waste and Remediatio,860691.67,880991.67,930341.67,979433.33,1024166.67,1061341.67,1084058.33,1098791.67,1133216.67,1137066.67,1056700.0,1122325.0,1180183.33,1116966.67,1042868.75
      Private Education and Health Services,2131441.67,2162775.0,2233341.67,2309125.0,2378158.33,2464408.33,2552716.67,2650900.0,2723075.0,2807458.33,2738166.67,2817875.0,2932541.67,3101291.67,2821870.14
        Private Educational Services,292766.67,307950.0,317341.67,327608.33,339575.0,347625.0,354858.33,363783.33,373783.33,383366.67,347958.33,355075.0,378983.33,399500.0,375761.81
        Health Care and Social Assistance,1838675.0,1854825.0,1916000.0,1981516.67,2038583.33,2116783.33,2197858.33,2287116.67,2349291.67,2424091.67,2390208.33,2462800.0,2553558.33,2701791.67,2446108.33
      Leisure and Hospitality,1500708.33,1534925.0,1597833.33,1675533.33,1757125.0,1828633.33,1901650.0,1952475.0,1991841.67,2034100.0,1481608.33,1641250.0,1931133.33,2009625.0,1860152.08
"         Arts, Entertainment, and Recreation",241966.67,245716.67,255025.0,265091.67,274875.0,284875.0,299816.67,306808.33,316325.0,329758.33,207633.33,239025.0,307950.0,333083.33,307181.25
        Accommodation and Food Services,1258741.67,1289208.33,1342808.33,1410441.67,1482250.0,1543758.33,1601833.33,1645666.67,1675516.67,1704341.67,1273975.0,1402225.0,1623183.33,1676541.67,1552970.83
      Other Services,483725.0,492475.0,503683.33,515633.33,534966.67,543850.0,553908.33,563950.0,571941.67,576516.67,477641.67,506575.0,564741.67,587900.0,561015.28
      Government,2448216.67,2406491.67,2376050.0,2374033.33,2412958.33,2462291.67,2515675.0,2554000.0,2581266.67,2597050.0,2492608.33,2469675.0,2533500.0,2602300.0,2551395.83
        Federal Government,268300.0,255275.0,250450.0,245616.67,242516.67,244358.33,247508.33,248116.67,246233.33,248166.67,259916.67,251400.0,247783.33,250408.33,253088.19
          State Government,483558.33,485658.33,482166.67,484241.67,496350.0,509083.33,519766.67,527908.33,533800.0,533391.67,528508.33,534783.33,543291.67,555058.33,533089.58
          Local Government,1696358.33,1665558.33,1643433.33,1644175.0,1674091.67,1708850.0,1748400.0,1777975.0,1801233.33,1815491.67,1704183.33,1683491.67,1742425.0,1796833.33,1765218.06
